relation_type,relation_label,obj_1,obj_2,generative_text,Rank1_word,Rank2_word,Rank3_word,accuracy
Desires,Desires,a person,own a house,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,a headache,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,clothing,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,Children,play with toys,"['children', 'children', 'children', 'children', 'children', 'people', 'children', 'people', 'children', 'love', 'people', 'children', 'love', 'children', 'children', 'animals', 'children', 'love', 'children', 'children']",children,people,love,0.0
Desires,Desires,a person,be knowledgeable,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,Dogs,chew bones,"['cats', 'cats', 'dogs', 'cats', 'cats', 'dogs', 'dogs', 'horses', 'cats', 'cats', 'cats', 'cats', 'dogs', 'birds', 'dogs', 'children', 'cats', 'cats', 'dogs', 'people']",cats,dogs,horses,0.0
Desires,Desires,A person,compliments,"['love', 'peace', 'a work', 'children', 'happiness', 'friendship', 'a work', 'money', 'love', 'a job', 'a work', 'war', 'a place', 'peace', 'life', 'a work', 'people', 'freedom', 'toys', 'food']",a work,love,peace,0.0
Desires,Desires,a dog,a bone,"['a cat', 'a cat', 'a man', 'a man', 'a cat', 'a dog', 'a man', 'a cat', 'a cat', 'a dog', 'a person', 'a cat', 'a cat', 'people', 'a cat', 'dogs', 'cats', 'a dog', 'a man', 'a man']",a cat,a man,a dog,0.0
Desires,Desires,a dog,be petted,"['a cat', 'a cat', 'a man', 'a man', 'a cat', 'a dog', 'a man', 'a cat', 'a cat', 'a dog', 'a person', 'a cat', 'a cat', 'people', 'a cat', 'dogs', 'cats', 'a dog', 'a man', 'a man']",a cat,a man,a dog,0.0
Desires,Desires,a cat,milk to drink,"['a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'a dog', 'cats', 'love', 'a dog', 'a dog', 'children', 'a dog', 'a dog', 'a dog', 'a dog', 'cats', 'a dog', 'a dog']",a dog,cats,love,0.0
Desires,Desires,an animal,reproduce,"['a person', 'food', 'food', 'animals', 'a person', 'food', 'animals', 'people', 'a bird', 'an animal', 'love', 'food', 'a tree', 'something', 'a plant', 'food', 'food', 'food', 'food', 'fish']",food,a person,animals,0.0
Desires,Desires,a person,more time off,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,understand the world,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,other people,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,cats,play,"['dogs', 'dogs', 'dogs', 'dogs', 'dogs', 'dogs', 'dogs', 'cats', 'cats', 'dogs', 'dogs', 'horses', 'birds', 'dogs', 'cats', 'dogs', 'dogs', 'dogs', 'children', 'cats']",dogs,cats,horses,0.0
Desires,Desires,a person,receive gifts,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,enjoy,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,understand themselves,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,praise,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,acknowledgment,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,an animal,eat,"['a person', 'food', 'food', 'animals', 'a person', 'food', 'animals', 'people', 'a bird', 'an animal', 'love', 'food', 'a tree', 'something', 'a plant', 'food', 'food', 'food', 'food', 'fish']",food,a person,animals,0.0
Desires,Desires,a thirsty person,drink,"['water', 'food', 'food', 'love', 'water', 'people', 'love', 'a man', 'a man', 'a woman', 'money', 'children', 'food', 'food', 'people', 'water', 'a man', 'food', 'food', 'food']",food,water,a man,0.0
Desires,Desires,a person,praise,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a bird,fly,"['a person', 'a dog', 'a dog', 'a dog', 'a man', 'a tree', 'a dog', 'a woman', 'fish', 'a fish', 'fish', 'a tree', 'an animal', 'a fish', 'a man', 'a dog', 'fish', 'birds', 'a dog', 'a fish']",a dog,fish,a fish,0.0
Desires,Desires,a person,the good things in life,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,A child,learn,"['children', 'love', 'a child', 'children', 'children', 'love', 'love', 'a child', 'children', 'children', 'a child', 'children', 'love', 'love', 'love', 'love', 'toys', 'a child', 'peace', 'a man']",love,children,a child,0.0
Desires,Desires,a person,relaxation,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,enjoy,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,time,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,people,compete,"['love', 'peace', 'war', 'people', 'money', 'happiness', 'children', 'friendship', 'love', 'freedom', 'life', 'religion', 'peace', 'things', 'peace', 'people', 'love', 'food', 'children', 'people']",love,peace,people,0.0
Desires,Desires,a person,be good-looking,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,accomplish goals,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,a person,get laid,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
Desires,Desires,some dogs,chase cars,"['dogs', 'cats', 'people', 'dogs', 'cats', 'cats', 'dogs', 'cats', 'animals', 'children', 'dogs', 'dogs', 'cats', 'a dog', 'animals', 'people', 'people', 'cats', 'cats', 'dogs']",cats,dogs,people,0.0
Desires,Desires,a person,his children to be happy,"['love', 'peace', 'a work', 'children', 'friendship', 'happiness', 'a work', 'money', 'love', 'peace', 'people', 'a job', 'a work', 'war', 'a work', 'a work', 'life', 'a work', 'a work', 'a place']",a work,love,peace,0.0
